stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,wheelchair_boarding
1000,,"50th St W & Upton Ave S","Near side E",  44.912365, -93.315179,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=1000,0,1
10000,,"Carmen Ave & Claude Way E","Across from S",  44.857531, -93.041008,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10000,0,1
10001,,"Carmen Ave & 65th St E","Far side S",  44.855001, -93.042491,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10001,0,1
10002,,"Carmen Ave & Village Square Center","Near side S",  44.853643, -93.042243,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10002,0,1
10003,,"Carmen Ave & Lake Bridge Apts","Across from E",  44.853399, -93.040785,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10003,0,2
10004,,"67th St E & Catherine Ave","Across from E",  44.851718, -93.036841,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10004,0,1
10005,,"67th St E & Clayton Ave","Near side E",  44.851697, -93.034839,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10005,0,1
10006,,"Clayton Ave & 68th St E","Near side S",  44.851302, -93.034785,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10006,0,1
10007,,"Clayton Ave & 69th St E","Near side S",  44.849902, -93.034773,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10007,0,1
10008,,"Clayton Ave & 70th St E","Near side S",  44.848212, -93.034733,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10008,0,1
10013,,"70th St E & Cloman Ave E","Across from E",  44.847966, -93.032265,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10013,0,1
10014,,"70th St E & Cooper Ave E","Near side E",  44.847948, -93.028704,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10014,0,1
10017,,"70th St E & Dawn Ave","Near side E",  44.847957, -93.024624,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10017,0,1
1002,,"50th St W & Sheridan Ave S","Near side E",  44.912341, -93.312642,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=1002,0,1
10024,,"75th St E & Craig Ave E","Near side W",  44.840836, -93.027131,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10024,0,1
10026,,"75th St E & Cloman Way","Near side W",  44.840813, -93.032276,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10026,0,1
10028,,"75th St E & Clayton Ave","Near side W",  44.840826, -93.034482,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10028,0,1
10029,,"Clayton Ave & 76th St E","Near side S",  44.839953, -93.034694,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10029,0,1
10030,,"Clayton Ave & 77th St E","Across from S",  44.838016, -93.034635,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10030,0,1
10031,,"Clayton Ave & 78th St E","Near side S",  44.837264, -93.034657,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10031,0,1
10032,,"78th St E & Charles Way","Across from W",  44.837231, -93.036420,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10032,0,1
10034,,"78th St E & Rolling Meadows Apts","Near side W",  44.837217, -93.037812,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10034,0,1
10035,,"78th St E & Chandler / Cahill","Mid block W",  44.836535, -93.040229,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10035,0,1
10036,,"78th St E & Cahill Ave","Near side W",  44.836378, -93.042173,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10036,0,1
10037,,"Fillmore Ave E & Robert St","Far side E",  44.941361, -93.084769,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10037,0,1
10039,,"Fillmore Ave E & State St","Near side E",  44.943261, -93.080287,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10039,0,1
1004,,"50th St W & Queen Ave S","Near side E",  44.912321, -93.310097,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=1004,0,1
10040,,"Fillmore Ave E & Lafayette Rd W","Near side E",  44.943613, -93.078382,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=10040,0,1
